date,keyword,news_score,youtube_score,final_score
2026-06-11,Azure,122.61,25,147.61
2026-06-11,Kafka,114.0,25,139.0
2026-06-11,AWS,114.94,20,134.94
2026-06-11,Databricks,104.33,20,124.33
2026-06-11,Cloud Computing,120.41,0,120.41
2026-06-11,Artificial Intelligence,94.55,0,94.55
2026-06-11,Azure,122.61,25,147.61
2026-06-11,Kafka,114.0,25,139.0
2026-06-11,AWS,114.94,20,134.94
2026-06-11,Databricks,104.33,20,124.33
2026-06-11,Cloud Computing,120.41,0,120.41
2026-06-11,Artificial Intelligence,94.55,0,94.55
2026-06-11,Azure,122.61,25,147.61
2026-06-11,Kafka,114.0,25,139.0
2026-06-11,AWS,114.94,20,134.94
2026-06-11,Databricks,104.33,20,124.33
2026-06-11,Cloud Computing,120.41,0,120.41
2026-06-11,Artificial Intelligence,94.55,0,94.55
2026-06-11,Azure,122.61,25,147.61
2026-06-11,Kafka,114.0,25,139.0
2026-06-11,AWS,114.94,20,134.94
2026-06-11,Databricks,104.33,20,124.33
2026-06-11,Cloud Computing,120.41,0,120.41
2026-06-11,Artificial Intelligence,94.55,0,94.55
